NO.,MODEL,Harga karton box
1,21AS253E3,66500
2,21AS353E3,66500
3,21AXS250E3,66500
4,21DS350E2,66500
5,21DS353E2,66500
6,21DXS250E2,66500
7,21DXS288RD2,66500
8,21EPS258E2,56000
9,21ES251E2,56000
10,21ES251EA,56000
11,21ES253E2,56000
12,21ES353E2,56000
13,21ESF251EA,56000
14,21GS352E,66500
15,21GS353E,66500
16,21GXS250E,66500
17,21GXS288RD,66500
18,21JS250,59000
19,21JS250TB,59000
20,21JS251,59000
21,21JS255EB,59000
22,21JS255TB,59000
23,21JS350,59000
24,21KS253,73500
25,21KS255,73500
26,21KS258,73500
27,21PF255EA,73500
28,21PF353EA,73500
29,21PF355EA,73500
244,AH-A12NCY,112000
30,AH-A18NCY,121500
31,AH-A5MEY,112000
32,AH-A5NCY-LV,121500
33,AH-A5PEY,48500
34,AH-A5PEY2,48500
35,AH-A7MEY,112000
36,AH-A7NCY,132000
37,AH-A9MEY,112000
38,AH-A9NCY,84500
39,AH-A9PEY,48500
40,AH-AP12MHL,121500
248,AH-AP12MSY,112000
252,AH-AP12MSY,112000
41,AH-AP12RSL,121500
42,AH-AP5MHL,84500
43,AH-AP5MSL,112000
44,AH-AP5NHL,84500
45,AH-AP5NSY,73500
46,AH-AP5PSY,73500
47,AH-AP5PSY2,73500
48,AH-AP5RHL,92500
49,AH-AP5RSL,40500
50,AH-AP7RHL,40500
51,AH-AP7RSL,40500
52,AH-AP9MSL,112000
53,AH-AP9NHL,84500
54,AH-AP9NSY,84500
55,AH-AP9PSY,84500
56,AH-AP9RHL,121500
57,AH-AP9RSL,112000
58,AH-XP10NRY,56000
59,AH-XP12NSY,73500
60,AH-XP18MHL,172500
61,AH-XP5NSY,73500
62,AH-XP9NSY,73500
63,AU-A12NCY,132000
64,AU-A12PSY,92500
65,AU-A18MLY,224500
66,AU-A18NCY,132000
67,AU-A5MEY,112000
68,AU-A5MLY,79500
69,AU-A5RLY,56000
70,AU-A7MEY,112000
71,AU-A7MLY,79500
72,AU-A7NCY,148500
73,AU-A7RLY,56000
74,AU-A9MEY,112000
75,AU-A9MLY,79500
76,AU-A9NCY,84500
77,AU-A9NLY,79500
78,AU-A9NSY,56000
79,AU-A9NSY,56000
80,AU-X10NY,73500
81,AU-X12NSY,92500
82,AU-X12NSY,92500
83,AU-X5NSY,92500
84,AU-X9NSY,92500
254,CBOX-1200UBL2,112000
85,CBOX-ASP1001BO,112000
85,CBOX-ASP1001B2,112000
86,CBOX-ASP805BO2,84500
87,CBOX-G600U,66500
88,EC-8304-A,73500
89,EC-8304-R,73500
90,EC-8604-A,73500
91,EC-CW110-R,66500
92,EC-CW60,59000
93,EKJ-17L(W),59000
94,ES-1025TY(BL),148500
95,ES-F850S,102500
96,ES-F865S-P,172500
97,ES-F866S-B,172500
98,ES-FL1070S,172500
99,ES-FL1080S,121500
100,ES-FL860S,148500
101,ES-Q70EY-G,79500
102,ES-Q70EY-GH,79500
103,ES-Q75EY-AH,79500
104,ES-Q75EY-GH,79500
105,ES-Q75EY-HH,79500
106,ES-R82EY-H,84500
107,ES-T60LL-G,66500
108,ES-T65MW-B,73500
109,ES-T65MW-BK,73500
110,ES-T65MW-G,73500
111,ES-T65MW-GK,73500
112,ES-T65MW-P,73500
113,ES-T65MW-PK,73500
114,ES-T65MW-PK,73500
115,ES-T68MW-PK,73500
116,ES-T70CL-PK,59000
117,ES-T70S-WK,66500
118,ES-T75EH-K,66500
119,ES-T75E-HK,66500
120,ES-T77DA-BK,66500
121,ES-T77DA-RK,66500
122,ES-T77F-PPK,66500
123,ES-T77F-PPK,66500
124,ES-T85CL-BK,73500
125,ES-T85CL-P,73500
126,ES-T85CL-P,73500
127,ES-T85CL-V,73500
128,ES-T85CL-VK,73500
129,ES-T86CL-H,73500
245,ES-T88DA-R,73500
130,ES-T88DA-V,73500
131,ES-T95CL-BK,73500
132,ES-T95CL-PK,73500
133,ES-T95CL-VK,73500
133,ES-T95CL-HK,73500
134,ES-T95CR-BK,73500
135,ES-T95CR-PK,73500
136,ES-T98DA-R,79500
137,ES-T98DA-V,79500
138,ES-TA88CA-BH,73500
139,ES-TA88CA-VH,73500
140,ES-TM14PY,121500
141,FR-G189-TS,102500
142,FR-G189-TS,102500
143,FR-K189G-CG,84500
144,FRV-127,92500
145,FRV-200,172500
146,FU-A80Y-W,132000
147,GX-M10H,73500
148,HT-CN314DVW,79500
149,HT-SB30,132000
150,IB-SS53Y-P,34000
151,KC-A40Y-B,59000
152,KC-A50Y-B,66500
153,KC-D40Y-W,251500
,KC-D40Y-B,251500
154,KC-D60Y-W,251500
249,KS-R18MS-GY,66500
155,KS-R18MS-PK,66500
251,KS-T18TL-GR,66500
156,KS-T18TL-RD,66500
250,KS-T18TL-ST,66500
157,LC-24DC30M,56000
158,LC-24DC50M,56000
159,LC-24LE155M,56000
160,LC-24LE507I,56000
161,LC-24LE507I-WH,56000
162,LC-29LE507I,34000
163,LC-29LE507I-BG,34000
253,LC-32DX888I-WH,73500
164,LC-32LE150M,73500
165,LC-32LE155M,73500
166,LC-32LE240M,79500
167,LC-32LE240M-WH,79500
168,LC-32LE340M,79500
169,LC-32LE340M,79500
170,LC-32LE340M-WH,79500
171,LC-32LE347I,40500
172,LC-32LE347I-BB,40500
173,LC-32LE347I-SW,40500
174,LC-39LE155M,73500
175,LC-40LE355M,132000
176,LC-50LE440M,172500
177,LC-50LE450M,148500
178,LC-60LE631M,92500
179,LC-60LE640X,92500
180,LC-80LE940X,480000
181,PB2-1218,16000
182,PJS-301N,
183,R-21A1(W)IN,56000
184,R-222Y(S),48500
185,R-222Y(W),48500
186,R-230R(S),56000
187,R-249IN(W),56000
188,R-299IN(S),56000
189,R-678IN(W),73500
190,R-899R(S)-IN,102500
191,SB-TI172G,59000
192,SCH-170PS,112000
193,SCH-210PS,132000
194,SCH-212PW-BK,121500
195,SJ-152MKIII-SL,73500
196,SJ-17MKII-TB,66500
197,SJ-17MKII-TS,66500
246,SJ-19BH-TB,92500
198,SJ-19SLV,79500
199,SJ-420KD-RDK,92500
200,SJ-421KP-PKK,121500
201,SJ-AG30LV-SL,132000
202,SJ-D198F-TB,66500
203,SJ-F190G-ZS,84500
204,SJ-F190M-TSK,84500
205,SJ-F190M-TSK,84500
