6,P,PUTRA NAGITA PRATAMA,,P14,,NULL,,,,,,,NULL,NULL,NULL,2018-09-01 00:00:00.000,SYSTEM,2018-09-03 09:22:01.333,14tes88,1,14
8,P,PUTRA NAGITA PRATAMA,,P13,,NULL,,,,,,,NULL,NULL,NULL,2018-09-01 00:00:00.000,SYSTEM,2018-09-03 09:21:32.157,13tes77,1,13
9,P,PUTRA NAGITA PRATAMA,,P20,"- JL. GATOT SUBROTO BARAT NO. 168X DENPASAR, BALI. - TERMINAL BARANG DINAS PERHUBUNGAN, JL. RAYA CARGO, DENPASAR UTARA, BALI.",NULL,,,,,,,NULL,NULL,NULL,2018-10-02 07:56:38.643,99mis20,2018-12-11 08:15:56.643,20wmsadm1,1,20
10,P,PUTRA NAGITA PRATAMA,,P17,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:03:03.430,99mis17,NULL,NULL,1,17
11,P,PUTRA NAGITA PRATAMA,,P16,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:05:06.353,99mis16,NULL,NULL,1,16
12,W,WINDU JAYA UTAMA,,W22,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:16:56.857,99mis,2018-10-02 08:39:46.253,99mis,1,22
13,W,WINDU JAYA UTAMA,,W28,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:18:24.293,99mis,2018-10-02 08:40:44.850,99mis,1,28
15,S,SARIJASA TRANSUTAMA,,S34,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:28:14.740,99mis,2019-02-07 12:52:38.127,34wmsadm1,1,34
16,S,SARIJASA TRANSUTAMA,,S31,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:29:35.740,99mis,NULL,NULL,1,31
17,S,SARIJASA TRANSUTAMA,,S36,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:30:53.407,99mis,NULL,NULL,1,36
18,S,SARANA AGUNG MULIA SETIA,,S33,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:34:39.897,99mis,NULL,NULL,1,33
19,S,SARANA AGUNG MULIA SETIA,,S29,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:36:33.923,99mis,NULL,NULL,1,29
20,S,SARANA AGUNG MULIA SETIA,,S25,,NULL,,,,,,,NULL,NULL,NULL,2018-10-02 08:38:04.587,99mis,NULL,NULL,1,25
21,M,MURNI PARMACAHATI LESTARI,,M24,,NULL,,,,,,,NULL,NULL,NULL,2018-10-30 08:51:38.777,99mis,NULL,NULL,1,24
22,T,TRANS LOGISTIK,,T15,,NULL,,,,,,,NULL,NULL,NULL,2018-10-30 08:53:43.923,99mis,NULL,NULL,1,15
23,T,TUNAS KREASI PERKASA LOGISTIK,,T23,,NULL,,,,,,,NULL,NULL,NULL,2018-10-30 08:55:21.767,99mis,NULL,NULL,1,23
24,D,DUTA DEWATA TRANSPORTINDO,,D20,"TERMINAL BARANG DINAS PERHUBUNGAN BLOCK C JL. RAYA CARGO, DENPASAR UTARA, BALI.",NULL,WAYAN DDT,623617432912,,,,,NULL,NULL,NULL,2018-12-04 15:26:21.367,20wmsadm1,NULL,NULL,1,20
27,S,SHARP SERVICE,,S16,JL. RINGROAD UTARA SUMBER BARU SQUARE KAVLING J SENDANGADI MLATI SLEMAN,NULL,,,,,,,NULL,NULL,NULL,2018-12-11 16:07:45.377,16wmsadm1,NULL,NULL,1,16
28,S,SOLA MUTIARA,,S18,KEDIRI,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,18
29,S,SOLA MUTIARA,,S39,JEMBER,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,39
30,D,CV. DUA SAMUDRA EXPRESS,,D23,"JL. Soekarno Hatta, Palembang",NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,23
31,M,CV. MAJU JAYA,,M23,JL. Pangeran Antasari 14 ilir Palembang,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,23
32,B,CV. BELITANG JAYA,,B23,JL. Letnan Jenderal Haji Alamsyah Ratu Prawinegara,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,23
33,M,Murni Parmacahati Lestari,,M32,MPL,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,32
35,A,"ANDHIKA CELEBES, PT.",,A28,,NULL,,,,,,,,,,NULL,SYSTEM,2019-03-21 16:12:23.353,28wmsadm1,1,28
36,R,"PT. Roda prima ",,R27,Jl. Irian Barat (Kongsi VI) No. 1212 Sampali Percut Sei Tuan,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,27
37,M,CV. Makmur Jaya,,M27,Jl. Sunggal No. 162 (dekat simpang Jl. Rajawali) Medan,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,27
38,P,PT. Perintis Usaha Mulia,,P27,Jl. Kolonel Bejo No.8,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,27
39,G,Megawati,,G27,Jl. Alumunium Raya No.7,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,27
40,J,Mandiri Jaya Express,,J27,Jl. Tangguk Bongkar III No.41C dan D/Garuda,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,27
41,E,CV. MSH Express,,E27,Jl. Letda Sudjono No. 154-156 Medan Tembung,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,27
42,A,CV. Abadas Jaya Express,,A27,"Jl. Perwira II ",NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,27
43,S,PT. SEJAHTERA BERSAMA TRANSINDO,,S27,JL. AMAL LUHUR NO. 125,NULL,,,,,,,,,,NULL,SYSTEM,2019-03-26 10:28:37.413,27wmsadm1,1,27
44,Y,PT. YUDHA ANTAR NUSA,,Y30,"Jl. Kom Yos Sudarso Samping Toko Sinar Logam, Pontianak",NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,30
45,A,Sanjaya,,A33,,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,33
46,M,MERPATI ELECTRONIC (RYAN KURNIA HANAFI),,M16,JL MERPATI BARAT III / NO.8 SEMARANG,NULL,,,,,,,NULL,NULL,NULL,2019-01-07 13:10:40.497,16wmsadm1,2019-01-07 13:11:52.973,16wmsadm1,1,16
47,N,NURHIDAYAT,,N36,,NULL,,,,,,,NULL,NULL,NULL,2019-02-12 14:51:30.443,36wmsadm1,2019-02-23 12:42:14.787,36wmsadm1,1,36
52,M,SINAR MANDIRI,,M36,,NULL,,,,,,,NULL,NULL,NULL,2019-02-21 11:48:29.797,36wmsadm1,NULL,NULL,1,36
